source_id,source_title,source_publisher,source_year,source_url,scenario,sector,skill_category,specific_skills,demand_direction,demand_score,demand_rationale,qatarization_relevance,time_horizon,evidence_quote,data_quality,quality_weight,scenario_weight,weighted_score
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S1,education,educational leadership and pedagogy,"curriculum development, educational technology integration, student assessment, bilingual instruction, research methodology",strong_increase,2.0,Vision emphasizes building world-class education system and developing Qatari human capital as foundation for economic transformation.,high,both,world-class educational system,high,1.5,0.8,2.4000000000000004
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S3,education,educational leadership and pedagogy,"curriculum development, educational technology integration, student assessment, bilingual instruction, research methodology",strong_increase,2.0,Vision emphasizes building world-class education system and developing Qatari human capital as foundation for economic transformation.,high,both,world-class educational system,high,1.5,0.4,1.2000000000000002
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S1,healthcare,advanced medical services,"specialized clinical care, medical research, healthcare administration, preventive medicine, health informatics",strong_increase,2.0,Vision calls for comprehensive healthcare system meeting international standards to support human development pillar.,high,both,comprehensive healthcare system,high,1.5,0.8,2.4000000000000004
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S1,finance_banking,financial services and investment,"investment analysis, financial planning, Islamic finance, risk management, capital markets",moderate_increase,1.0,Economic diversification requires sophisticated financial sector to support non-hydrocarbon economic activities and investment.,high,medium_term,diversified economy,high,1.5,0.8,1.2000000000000002
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S1,technology_digital,knowledge economy enablement,"information systems management, digital infrastructure, e-governance, data management, innovation management",strong_increase,2.0,Vision emphasizes transition to knowledge-based economy requiring digital capabilities and technological advancement.,high,both,knowledge-based economy,high,1.5,0.8,2.4000000000000004
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S3,technology_digital,knowledge economy enablement,"information systems management, digital infrastructure, e-governance, data management, innovation management",strong_increase,2.0,Vision emphasizes transition to knowledge-based economy requiring digital capabilities and technological advancement.,high,both,knowledge-based economy,high,1.5,0.4,1.2000000000000002
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S1,cross_sector,environmental management,"environmental impact assessment, sustainability planning, resource conservation, pollution control, green building design",moderate_increase,1.0,Environmental development pillar requires capabilities to balance economic growth with environmental protection and resource management.,medium,both,environmental development,high,1.5,0.8,1.2000000000000002
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S3,cross_sector,environmental management,"environmental impact assessment, sustainability planning, resource conservation, pollution control, green building design",moderate_increase,1.0,Environmental development pillar requires capabilities to balance economic growth with environmental protection and resource management.,medium,both,environmental development,high,1.5,0.4,0.6000000000000001
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S1,cross_sector,project management and governance,"strategic planning, public administration, stakeholder engagement, performance measurement, policy analysis",moderate_increase,1.0,Vision implementation requires strong governance capabilities and project management skills across all sectors and development pillars.,high,both,balanced development,high,1.5,0.8,1.2000000000000002
QNV2030,Qatar National Vision 2030,"General Secretariat for Development Planning, Qatar",2008,https://www.gco.gov.qa/wp-content/uploads/2016/09/GCO-QNV-English.pdf,S3,cross_sector,project management and governance,"strategic planning, public administration, stakeholder engagement, performance measurement, policy analysis",moderate_increase,1.0,Vision implementation requires strong governance capabilities and project management skills across all sectors and development pillars.,high,both,balanced development,high,1.5,0.4,0.6000000000000001
